Size;Threads;Duration
1000;168430090;0.000514727
1000;4;0.000602559
10000;4;0.0446409
1000;2;0.000501588
1000;2;0.000598628
1000;2;0.000614052
1000;2;0.000709519
1000;2;0.000573807
1000;2;0.000765985
1000;2;0.000765582
1000;2;0.000568171
1000;2;0.000744102
